ship,constellation,sar_latency_min,optical_latency_min,fusion_latency_min,improvement_factor
Ship1,6-sat,-309.3217333316803,-275.7919666647911,-309.3217333316803,0
Ship1,12-sat,-289.2394666671753,-246.44819999933242,-289.2394666671753,0
Ship1,32-sat,-317.9701333324114,-280.990566666921,-317.9701333324114,0
Ship2,6-sat,304.5492666681608,-330.0,-330.0,0
Ship2,12-sat,-226.6099166671435,-330.0,-330.0,0
Ship2,32-sat,-99.54450000127157,-330.0,-330.0,0
Ship3,6-sat,-253.31008333365122,-245.9258666674296,-253.31008333365122,0
Ship3,12-sat,-260.3642833352089,-229.99988333384195,-260.3642833352089,0
Ship3,32-sat,-263.8040666659673,-257.8789166649183,-263.8040666659673,0
