eez,constellation,mean_revisit_min,min_revisit_min,max_revisit_min,median_revisit_min,num_gaps
East,6-sat,75.72376555575266,9.364333335558573,494.00871666669843,11.257566666603088,15
East,12-sat,12.233184745621548,9.138499999046326,43.35949999888738,10.40494999885559,59
East,32-sat,23.70832575740236,0.5097833355267842,116.71416666507722,4.196925000349681,22
West,6-sat,65.15983725482343,6.98248333533605,469.5199666659037,9.51710000038147,17
West,12-sat,11.108742090605073,7.411983335018158,42.06935000022252,9.235266665617624,59
West,32-sat,16.7476294444667,0.15784999926884968,106.0816833337148,4.149316666523616,30
