Port,Sensor,Constellation,Passes,Total_Duration_sec,Avg_Pass_Duration_sec,Coverage_Percent,Mean_Revisit_min
Chennai,Optical,12,17,4707.557,276.9151176470588,5.448561342592592,26.133668749779464
Chennai,Optical,32,40,11063.269999999999,276.58174999999994,12.804710648148147,11.190735999584197
Chennai,Optical,6,5,2088.7740000000003,417.75480000000005,2.4175625000000003,9.548955555756887
Chennai,SAR,12,26,7562.149,290.8518846153846,8.75248726851852,51.72201333332061
Chennai,SAR,32,67,20019.58999999999,298.7998507462685,23.170821759259248,32.50429868384411
Chennai,SAR,6,12,3784.825,315.40208333333334,4.38058449074074,123.18310454541985
Kandla,Optical,12,18,5229.692000000001,290.5384444444445,6.052884259259261,24.098513725925894
Kandla,Optical,32,42,11090.639000000003,264.0628333333334,12.836387731481485,12.5985977266774
Kandla,Optical,6,4,1806.0439999999999,451.51099999999997,2.0903287037037037,12.527188889185588
Kandla,SAR,12,27,7984.308999999999,295.7151481481481,9.24109837962963,43.07246602544417
Kandla,SAR,32,73,21540.324,295.07293150684933,24.930930555555555,20.07261080234139
Kandla,SAR,6,12,3892.026,324.33549999999997,4.504659722222222,123.3306393944856
Kochi,Optical,12,16,4519.244,282.45275,5.230606481481481,28.09474777830972
Kochi,Optical,32,40,11011.190000000004,275.2797500000001,12.744432870370376,8.590883333394023
Kochi,Optical,6,5,2468.398,493.67960000000005,2.85694212962963,17.381974999109904
Kochi,SAR,12,25,7408.783999999999,296.35135999999994,8.57498148148148,54.73065625015232
Kochi,SAR,32,68,19728.251,290.1213382352941,22.833623842592594,33.624688738853
Kochi,SAR,6,12,3691.7510000000007,307.6459166666667,4.272859953703705,150.7707555550116
Mumbai,Optical,12,17,5087.5779999999995,299.269294117647,5.888400462962962,25.7642250003914
Mumbai,Optical,32,42,11172.848,266.02019047619046,12.931537037037035,14.46910083353519
Mumbai,Optical,6,5,2150.5150000000003,430.10300000000007,2.489021990740741,8.161216666301092
Mumbai,SAR,12,27,7813.402999999999,289.38529629629625,9.043290509259258,49.51083461581132
Mumbai,SAR,32,69,20749.48900000001,300.7172318840581,24.01561226851853,25.706650378938875
Mumbai,SAR,6,12,3874.883,322.90691666666663,4.4848182870370366,123.25056666569276
Visakhapatnam,Optical,12,18,4833.091999999999,268.50511111111103,5.59385648148148,25.369754902288026
Visakhapatnam,Optical,32,41,11054.148999999998,269.61339024390236,12.794153935185182,14.633020833532012
Visakhapatnam,Optical,6,5,1969.212,393.8424,2.2791805555555555,7.6668499996264785
Visakhapatnam,SAR,12,25,7605.914000000001,304.23656000000005,8.803141203703705,53.84104583313067
Visakhapatnam,SAR,32,71,20581.798000000003,289.88447887323946,23.821525462962967,26.16458560607651
Visakhapatnam,SAR,6,15,3787.6840000000007,252.5122666666667,4.383893518518519,96.94051071348643
