eez,constellation,total_access_min,coverage_percent,num_passes,avg_pass_duration_sec
East,6-sat,358.09864999999996,24.867961805555552,30,716.1972999999999
East,12-sat,719.5840999999999,49.97111805555555,61,707.7876393442622
East,32-sat,1915.510183333333,133.02154050925924,163,705.095773006135
West,6-sat,393.52825,27.32835069444445,30,787.0565
West,12-sat,794.3104166666666,55.16044560185185,62,768.6875
West,32-sat,2114.0349833333335,146.8079849537037,170,746.129994117647
