Ship,Constellation,Fusion_Windows,Total_Duration_Sec,Mean_Duration_Sec,Fusion_Coverage_Pct
Ship1,6,8,1523.1779997348783,190.39724996685985,1.7629374996931462
Ship1,12,12,1966.4519996643064,163.87099997202554,2.275986110722577
Ship1,32,77,9687.681000471115,125.81403896715734,11.212593750545272
Ship2,6,13,3128.3959991931915,240.645846091784,3.6208287027698973
Ship2,12,96,21689.878998041157,225.93623956292868,25.10402661810319
Ship2,32,630,158281.08000302315,251.23980952860816,183.19569444794345
Ship3,6,27,4718.688001394272,174.76622227386193,5.461444446058185
Ship3,12,85,19129.62400054932,225.05440000646252,22.140768519154307
Ship3,32,603,147285.40799117088,244.25440794555703,170.46922221200333
